Timestamp,Milliseconds,X,Y,Z
2022-12-18 15:44:21,67500,0.945,-0.83,-0.064
2022-12-18 15:44:21,68001,-2.305,3.399,8.082
2022-12-18 15:44:22,68500,3.639,-0.483,0.603
2022-12-18 15:44:22,69000,3.019,0.771,12.622
2022-12-18 15:44:23,69500,-0.354,-1.845,7.637
2022-12-18 15:44:23,70000,-0.021,1.982,2.255
2022-12-18 15:44:24,70501,-1.345,-1.548,25.608
2022-12-18 15:44:24,71000,-1.386,-2.535,22.22
2022-12-18 15:44:25,71500,-0.246,-0.904,1.261
2022-12-18 15:44:25,72000,-4.632,-1.053,17.005
2022-12-18 15:44:26,72501,-3.514,0.514,15.305
2022-12-18 15:44:26,73000,-0.521,4.652,11.915
2022-12-18 15:44:27,73500,1.85,-2.221,10.498
2022-12-18 15:44:27,74000,1.467,2.525,13.572
2022-12-18 15:44:28,74501,-2.082,-0.217,9.851
2022-12-18 15:44:28,75000,1.984,-3.804,12.923
2022-12-18 15:44:29,75500,0.33,-2.173,9.559
2022-12-18 15:44:29,76000,1.211,-0.696,10.431
2022-12-18 15:44:30,76501,-0.943,-3.05,14.755
2022-12-18 15:44:30,77000,-0.141,1.472,10.179
2022-12-18 15:44:31,77500,-0.22,1.278,12.751
2022-12-18 15:44:31,78000,0.51,-0.169,3.507
2022-12-18 15:44:32,78501,-1.472,3.541,9.325
2022-12-18 15:44:32,79000,3.098,4.041,13.222
2022-12-18 15:44:33,79500,-0.1,-0.744,0.885
2022-12-18 15:44:33,80000,0.395,3.84,11.659
2022-12-18 15:44:34,80500,0.32,3.756,7.536
2022-12-18 15:44:34,81000,-0.821,-1.532,0.988
2022-12-18 15:44:35,81500,-2.729,-3.49,15.162
2022-12-18 15:44:35,82000,1.3,-3.095,10.112
2022-12-18 15:44:36,82500,0.239,-0.172,5.085
2022-12-18 15:44:36,83001,-0.679,-1.766,9.945
2022-12-18 15:44:37,83500,-7.455,-14.013,6.866
2022-12-18 15:44:37,84000,-1.441,-0.526,12.808
2022-12-18 15:44:38,84500,-0.902,1.585,10.043
2022-12-18 15:44:38,85001,1.032,-0.931,9.389
2022-12-18 15:44:39,85500,3.352,-2.3,7.445
2022-12-18 15:44:39,86000,-1.589,-0.552,7.551
2022-12-18 15:44:40,86500,0.155,3.955,20.338
2022-12-18 15:44:40,87000,1.604,2.178,15.885
2022-12-18 15:44:41,87500,-7.201,0.909,2.477
2022-12-18 15:44:41,88000,-14.506,10.723,13.357
2022-12-18 15:44:42,88501,0.785,-5.137,1.824
2022-12-18 15:44:42,89000,-1.424,-2.892,3.545
2022-12-18 15:44:43,89500,0.976,0.222,4.247
2022-12-18 15:44:43,90000,-1.642,1.707,17.008
2022-12-18 15:44:44,90500,1.106,-2.066,1.488
2022-12-18 15:44:44,91001,-0.009,0.368,1.948
2022-12-18 15:44:45,91500,-3.461,6.392,-3.052
2022-12-18 15:44:45,92000,-2.061,-1.613,10.589
2022-12-18 15:44:46,92501,1.058,3.998,15.657
2022-12-18 15:44:46,93000,-6.55,1.755,13.131
2022-12-18 15:44:47,93500,-4.668,0.912,18.066
2022-12-18 15:44:47,94000,0.641,4.218,11.738
2022-12-18 15:44:48,94501,-2.353,1.082,18.923
2022-12-18 15:44:48,95000,0.447,3.404,11.851
2022-12-18 15:44:49,95500,7.762,2.353,13.84
2022-12-18 15:44:49,96000,5.375,1.929,-0.589
2022-12-18 15:44:50,96501,-0.308,0.842,3.435
2022-12-18 15:44:50,97000,3.979,-1.857,5.616
2022-12-18 15:44:51,97500,15.224,-5.001,10.943
2022-12-18 15:44:51,98000,9.502,1.19,20.36
2022-12-18 15:44:52,98501,7.039,-11.018,2.307
2022-12-18 15:44:52,99000,1.417,4.446,0.102
2022-12-18 15:44:53,99500,1.541,7.611,2.202
2022-12-18 15:44:53,100000,-2.228,4.082,9.487
2022-12-18 15:44:54,100501,-0.325,-0.311,0.61
2022-12-18 15:44:54,101000,-0.179,1.891,13.218
2022-12-18 15:44:55,101500,-0.43,3.227,9.974
2022-12-18 15:44:55,102001,-0.308,2.413,16.95
2022-12-18 15:44:56,102500,-0.974,0.656,8.116
2022-12-18 15:44:56,103000,1.458,-2.31,8.551
2022-12-18 15:44:57,103500,3.569,0.821,-2.171
2022-12-18 15:44:57,104000,-5.492,2.638,17.312
2022-12-18 15:44:58,104501,2.315,3.079,12.428
2022-12-18 15:44:58,105000,0.232,5.121,15.097
2022-12-18 15:44:59,105500,3.071,-1.129,-0.579
2022-12-18 15:44:59,106000,0.292,0.917,-0.455
2022-12-18 15:45:00,106501,0.687,-0.122,13.991
2022-12-18 15:45:00,107000,-1.146,1.776,11.125
2022-12-18 15:45:01,107500,-1.144,2.724,16.713
2022-12-18 15:45:01,108000,-2.963,-1.491,18.217
2022-12-18 15:45:02,108501,-0.859,1.597,13.086
2022-12-18 15:45:02,109000,0.213,-2.118,6.607
2022-12-18 15:45:03,109500,-0.263,0.201,9.404
2022-12-18 15:45:03,110000,0.093,0.337,12.564
2022-12-18 15:45:04,110501,2.095,1.427,17.25
2022-12-18 15:45:04,111000,-0.737,-2.88,10.874
2022-12-18 15:45:05,111500,-0.344,1.283,9.792
2022-12-18 15:45:05,112000,2.166,1.798,9.401
2022-12-18 15:45:06,112500,0.306,-0.43,4.484
2022-12-18 15:45:06,113001,-1.819,-0.9,6.902
2022-12-18 15:45:07,113500,-2.295,-2.169,16.412
2022-12-18 15:45:07,114000,-0.22,1.462,-0.009
2022-12-18 15:45:08,114500,-1.156,-1.206,0.141
2022-12-18 15:45:08,115001,-0.042,-1.654,-1.202
2022-12-18 15:45:09,115500,1.087,-1.673,10.826
2022-12-18 15:45:09,116000,8.801,-2.564,15.911
